geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Enid,OK,Metro,310M400US21420,46697,5.7,78.6,12.2,0.1,1.1,2.5,5.6,19.6,4.4,4,13.7,10.3,14.8,20.1,12.4,15.1,2.1,3.1,53946,13296,31.7,16.6,19599,63.2,33.6,16.1,12.1
Erie,PA,Metro,310M400US21500,221307,4.4,79.5,10.7,2.3,2.5,1.1,3.9,20,7.3,5.7,12.7,11.9,13.9,17.9,12.1,12,3.9,2.8,48007,16578,35.9,21.2,21886,69.9,42.2,3.9,9.9
Eugene,OR,Metro,310M400US21660,317579,5.9,70.3,11.1,2.9,4.6,4,7,19.7,6.8,5.5,9.6,11,13.6,20.1,13.5,11.5,4.5,4.1,53172,17438,35.8,19.5,26796,61.7,44.8,8.2,10.8
Eureka-Arcata-Fortuna,CA,Micro,310M400US21700,112359,9.4,77.1,8.6,2.3,5.3,1.6,5.1,17.5,5.8,7.5,12.7,10.9,12.7,20.9,11,11.5,4.1,2.9,50294,14255,32.4,22.3,26614,58.1,51.6,6.5,11.5
Evansville,IN-KY,Metro,310M400US21780,253268,5.3,87,6.9,0.9,1.7,1,2.4,21.1,7.6,5.1,10.8,8.8,12.9,17.3,15.2,13.3,4.7,4.3,55412,20913,34.7,18.8,20244,72.2,35.3,5.7,8.7
Fairbanks,AK,Metro,310M400US21820,77416,5.6,71.4,14.5,1.4,2.8,3.8,6.2,19.1,3.5,2.8,5.4,6.7,11.3,19.9,14.5,20.1,7.2,8.7,75448,22941,19.6,21.9,33323,74.7,29.8,9.3,5.8
Fargo,ND-MN,Metro,310M400US22020,193867,3,82.7,7.9,0.7,3.4,1.4,3.8,17.2,4.5,4.3,8.6,7.8,14,17.2,13.9,16.1,7,6.7,65073,25647,22.5,11.6,24244,82.3,25.4,5,6.1
Faribault-Northfield,MN,Micro,310M400US22060,53662,6,73.5,7,0.6,2.7,1.4,14.7,23.7,6,2.1,7,11.6,14.3,14.7,13.7,20.9,5,4.7,65839,16448,32.5,18.4,20664,76.1,30.9,5.4,5.6
Farmington,MO,Micro,310M400US22100,54740,4.3,87.3,10.2,0,0.6,0.5,1.3,25.8,7,9.3,11.9,11.1,15.1,18.1,11.3,10.6,3.4,2.3,46796,14257,37,24.7,19818,62,42.9,8.3,14.2
Farmington,NM,Metro,310M400US22140,96348,7.4,82.7,10.3,0.1,1.3,1.1,4.5,24,11.4,6.2,11.4,10.9,13.5,17.5,11.9,11.7,3,2.4,44841,14895,33.9,19.3,24482,46.1,51.8,11.9,19.7
Fayetteville,NC,Metro,310M400US22180,300733,7.3,79.7,9.7,0.4,5.1,2,3.1,22.4,8.2,6.5,10.7,10.9,16.7,17.9,11.5,11.9,3.5,2.2,46679,14718,27.4,23.3,24638,64.8,40.5,9.6,14.3
Fayetteville-Springdale-Rogers,AR-MO,Metro,310M400US22220,429714,3.4,79.7,11.7,0.4,1.5,1,5.7,20.8,5.5,4.6,9.1,9.5,14.6,18.8,12.8,13.3,5.6,6.2,57911,25192,27.6,14.3,26249,68,32.2,9.7,9.4
Findlay,OH,Micro,310M400US22300,61500,4,85.1,8.4,1.8,0.6,1.9,2.3,16.5,5.6,4.6,7.9,11.8,10,20.6,14.2,16.1,5.7,3.5,60788,16791,33.4,20.3,29075,76.3,34,3.4,5.9
Flagstaff,AZ,Metro,310M400US22380,116671,5.8,68.5,14,2.3,8.2,3.6,3.3,19.9,6.8,3.8,10,6.3,12.1,22.5,12,14,6.9,5.5,61843,17042,26.8,18.5,31229,67.2,31.1,10.4,7.7
