geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Quincy,IL-MO,Micro,310M400US39500,60448,2.7,82.9,9.1,0.7,2.8,1,3.4,17.4,7.2,3.7,9.6,10.8,12.9,21.8,15.1,12.6,2.5,3.9,54948,18334,33.8,17.4,25581,73.3,39.6,3.9,6.8
Racine,WI,Metro,310M400US39540,157399,3.9,84.9,6.1,1.6,1.1,2.1,4.3,24,7.1,4.2,9,10.7,11.1,18,13.3,17.2,5.9,3.6,59759,15562,34,20.9,21606,68.8,39,4.9,8.5
Raleigh,NC,Metro,310M400US39580,1071251,3.4,79,8.9,0.9,1.3,0.9,9.1,26.9,3.5,2.8,6.3,7.6,11.8,17.9,13.4,17.9,8.2,10.6,75165,25573,24.2,16.6,27276,76.1,24.9,9.1,5.5
Rapid City,SD,Metro,310M400US39660,117383,3,79.7,11,0.5,2,1.4,5.5,19.2,4.4,4,8.5,12.3,13.9,19.1,15.1,13.6,4.8,4.4,59833,17230,34.7,22.3,28130,69,32.2,12.8,8
Reading,PA,Metro,310M400US39740,337231,5.1,79.2,9.6,2,3,2,4.3,25.3,5,3.9,8.3,10.2,11.4,19.5,13.8,16.9,6.8,4.4,62564,19778,35.9,21.9,22654,72.4,36.2,5.7,8.1
Redding,CA,Metro,310M400US39820,145037,8.3,80.4,10.1,0.8,2.5,1.5,4.6,22.3,7.3,6.1,8.5,9.1,14,18.2,11.6,15.8,5.3,4.2,56280,15662,43.5,23.5,29413,61.3,49,6.2,9.5
Reno,NV,Metro,310M400US39900,380451,4,77.2,12.3,1.7,2.6,1.8,4.4,22.3,4.6,3,7.9,8.6,13.2,21,12.4,16.4,6.7,6.2,63466,23661,30.6,19.9,35320,71.4,31.3,9.9,6.8
Richmond,VA,Metro,310M400US40060,1054268,4,81.2,8.7,1.7,1.4,1.9,5.2,25,5.2,3.8,7.5,8.2,12.4,18,13.2,17.5,6.7,7.4,67703,21906,32.2,22.2,28998,74.4,29.6,8.6,7.3
Richmond,IN,Micro,310M400US39980,52822,4.9,81.5,8,0.2,4.4,3.9,2,20.7,6.1,6,10.7,14.7,17.9,21,10.4,9.5,2,1.7,44928,12899,36.7,19.6,26394,57.2,45.6,11.2,12.5
Richmond-Berea,KY,Micro,310M400US40080,88940,4.3,79.2,12,0.1,3.2,0.5,5,23.2,9.1,5.9,10.6,11.2,12.8,17.5,12.6,13.7,3,3.6,50333,16932,34.1,21.1,24704,66.2,40.3,4.6,13.5
Riverside-San Bernardino-Ontario,CA,Metro,310M400US40140,3570421,6.6,79.8,10.9,1.2,1.5,1.5,5,32.7,5.5,4.1,8.9,8.4,11.5,17.7,13.3,16.4,7.4,6.7,65671,20512,29.9,16.7,31891,58,41.7,8.4,10.5
Roanoke,VA,Metro,310M400US40220,257572,4.5,81.6,6.2,1.7,2,1.3,7.3,23.7,5.8,5.6,11.1,9.9,14,16,12.9,14.8,5.8,4.3,55151,21073,38.6,20.9,25246,70.6,37.3,7.6,9.5
Roanoke Rapids,NC,Micro,310M400US40260,58560,7,79.4,13.2,0.3,3.3,1.8,1.9,22.6,11,8.3,13.2,13.1,20.6,14.6,9.3,5.4,2.7,1.8,37027,12822,47.1,17.8,23776,56.8,42.7,13.2,14.6
Rochester,NY,Metro,310M400US40380,875977,4.6,80.9,7.9,2.2,3,1.2,4.8,21.6,6.2,5.2,9.5,9,12.3,17.8,13.1,15.7,6.1,5,60190,18454,34.9,22.3,25287,72.5,39.1,3.5,8.5
Rochester,MN,Metro,310M400US40340,172704,2.3,73.7,11.8,4.6,3.3,1.1,5.5,20.4,3.6,3.7,6.7,7.5,13.4,16.5,15.3,18.4,7.3,7.6,72129,22823,28.6,17.1,26895,81.1,29.8,3.7,3.3
Rockford,IL,Metro,310M400US40420,267367,6.4,81.4,10.8,0.9,1,1.4,4.5,23.7,6,4.8,11.3,11.2,11.3,18.8,12.7,14.4,5.2,4.2,55829,17746,34,19.4,24982,65.8,40.8,7,11.6
Rocky Mount,NC,Metro,310M400US40580,117486,6.6,82.5,8.6,1.1,1.8,1.6,4.3,23,7.1,6.6,10.9,10.9,16.4,18.3,12,11.7,2.3,3.7,46733,19089,40,20,21874,62.4,45,9.7,13.1
Rome,GA,Metro,310M400US40660,78167,2.9,83.5,8,0.3,3.4,1.8,3,23.8,9.3,6.8,9.9,22,9.9,17.3,7.8,9.7,4.1,3.3,38462,23411,39.4,19.5,23250,60.6,38.4,14,17.6
Roseburg,OR,Micro,310M400US40700,92283,6.6,76.5,11.4,0.1,3.3,1.1,7.6,19.4,4.5,5.4,13.2,12.5,17.1,21.2,9.9,11.3,3.1,1.8,47004,12493,48.5,24.9,23416,61.3,52.2,6.6,8.9
Roswell,NM,Micro,310M400US40740,50308,4,83,11.4,1,0.9,1.6,2.1,17.2,5.2,9.6,14.1,10.5,14.8,19.5,12.2,9.3,2.4,2.5,43941,13395,39.1,20.5,24937,44.9,56.6,9.3,15.3
Russellville,AR,Micro,310M400US40780,68612,4.1,85.1,9.8,0.3,0.5,0.9,3.4,20.9,8.7,4.4,13.9,11.6,18.5,21.6,7.1,9.5,3.2,1.5,43886,12786,36.5,25.2,17334,57.9,46,8.3,9.7
Sacramento--Roseville--Arden-Arcade,CA,Metro,310M400US40900,1868638,5.2,76.6,9.2,2.2,1.7,2.5,7.9,28,5.3,3.9,7.6,7.5,10.5,16.1,13.4,17.5,8.9,9.2,73142,22399,29.7,21,37978,69.4,38.7,4.9,8.9
Saginaw,MI,Metro,310M400US40980,154763,5.5,82,11.3,0.3,2.7,1.4,2.2,21.7,8.5,4.7,11.2,11.4,15.4,18.3,11.9,11.6,3.4,3.5,48990,19792,40.3,25.7,23211,67.4,47.8,4.1,11.7
Salem,OH,Micro,310M400US41400,84414,4.7,86,8.2,0.7,1.7,1.3,2.1,25.1,7.6,5.6,14.4,12.4,16.2,15.7,11.8,11.5,3.5,1.3,43745,15560,35.8,23.3,22660,60.8,44.4,7.2,11.3
Salem,OR,Metro,310M400US41420,338174,5.3,76.8,10.9,1.5,2.7,2.6,5.6,24.3,5,4.7,9.4,9.9,14.8,18.2,14.2,14.8,5.4,3.4,57091,17119,33.9,20.7,26384,63.6,42.1,7.7,11.3
Salinas,CA,Metro,310M400US41500,333147,4.4,70.8,9.6,1.3,2.8,10.6,4.8,23.9,3.5,3,7.3,8.5,11.4,19,13.5,16.3,8.1,9.5,70681,29677,31.6,18.4,36744,56.7,42.3,10.5,10.5
Salisbury,MD-DE,Metro,310M400US41540,342422,5.3,82.4,8.3,0.7,1.5,1,6.1,26.2,5.4,4.6,9.9,10,12.5,19.9,13.5,14,5.1,5.1,59214,17523,44.9,29.1,29722,63.5,49.4,6.7,7.7
Salt Lake City,UT,Metro,310M400US41620,922505,3.3,74.5,12,3.2,2.2,1.5,6.7,22.9,3.8,2.5,5.8,7.2,11.9,19.4,14.4,19.4,7.6,7.8,73730,23471,23.4,15.5,27581,75.6,20.9,11.2,5.6
San Angelo,TX,Metro,310M400US41660,93439,4.8,80.6,8.8,0,5.7,2.2,2.7,17.3,6.2,3.9,13,7.6,17.6,18.2,13.3,13,3.9,3.4,51851,18527,28,16.4,28048,69.5,32.2,12,11.4
San Antonio-New Braunfels,TX,Metro,310M400US41700,1955315,5.3,79.2,11.2,1.8,1.8,1.4,4.6,26.6,7.6,4.5,9,9.2,13.5,18.2,12.9,14.2,5.3,5.5,57379,21464,27.5,18.6,30669,63.7,31.5,15.5,11.5
San Diego-Carlsbad,CA,Metro,310M400US41740,2695957,5.4,76.5,8.8,2.6,3.1,2.4,6.6,26.6,4.3,3.4,6.5,7,10.5,16,12.6,18.2,10.1,11.3,79079,27158,26.8,18.3,33980,67.1,35,8.4,7.5
San Francisco-Oakland-Hayward,CA,Metro,310M400US41860,3901974,4,57.2,9.6,17.3,4.7,4.3,7,34.7,4,3.2,5.1,4.7,7.1,11.8,10.6,17.3,12.1,24.2,107898,42932,26.4,16.3,37570,76.4,30,3.9,5
San Germán,PR,Metro,310M400US41900,100287,16.5,85.7,5,0.6,2.9,0.1,5.8,24.5,31.6,12.3,22.1,11.4,8.9,8.2,3,1.3,1.1,0.2,16737,8791,51.6,20.3,12541,39,67.1,4.3,44.8
San Jose-Sunnyvale-Santa Clara,CA,Metro,310M400US41940,1607885,4,75.3,10.3,4,2.2,3.3,5,29.8,3.1,2.3,4.4,4.1,6.5,10.8,9.7,17.1,13,28.9,124696,44367,23.3,13.6,36593,76.9,27.1,4.2,4.1
San Juan-Carolina-Caguas,PR,Metro,310M400US41980,1702657,15.1,82.4,8.8,2.4,2.3,1.9,2.2,32.3,24.5,11.2,18.1,12.2,13.1,10.9,4.4,3.4,0.9,1.3,22757,12827,44.4,17.5,20093,43.3,57.5,7.2,36
San Luis Obispo-Paso Robles-Arroyo Grande,CA,Metro,310M400US42020,240351,4.8,71.4,12.8,0.7,5,2.9,7.2,22.3,6.4,3,6.7,6.6,11,18.3,12,17.5,9.3,9.2,71148,25372,36.1,22.8,41208,72.2,36.5,6.5,7.2
Sandusky,OH,Micro,310M400US41780,61565,3.6,88.8,6.3,1.4,1,1.5,0.9,19.8,7.7,2.1,10.7,13.1,16.6,18.3,14.5,10.7,3.3,3,49751,19075,36.5,27.9,30471,76.9,38.4,4.3,6.9
Santa Cruz-Watsonville,CA,Metro,310M400US42100,227759,6.6,69,9.6,2.5,5.9,5.3,7.7,27.4,5.3,3,7.2,6,9.4,13.6,11.3,16.9,10.7,16.6,86941,32667,33.4,19.7,36084,69.7,37.5,5.5,7.1
Santa Fe,NM,Metro,310M400US42140,126083,4.2,76.9,9.4,0.7,1.9,1.3,9.8,23.6,5.7,3.9,7.5,10.4,15.2,17.9,12.6,14.1,5.8,7,60193,26890,38.9,25.1,34396,58.1,48.8,11.4,7.4
Santa Maria-Santa Barbara,CA,Metro,310M400US42200,358433,5.9,67.7,14.9,2.4,3.6,3.8,7.6,22.1,4.9,3.1,6.3,7.8,10,16.3,13.4,17.1,9.4,11.6,77472,33183,31,18.5,37278,62.6,38.2,10.9,7
Santa Rosa,CA,Metro,310M400US42220,413471,4.5,77.1,9.7,2.1,2.2,1.7,7.2,25.4,4,2.7,6.7,6.7,10.4,15.6,13.4,18.8,10.6,11,81395,26883,36,23.3,34134,70.3,37,6.7,5.5
Savannah,GA,Metro,310M400US42340,310093,6.2,80.3,10.5,1.2,2.3,1.7,4,24.5,7,3.2,10.3,10.3,12.2,17.7,14,14.2,5.1,5.9,58178,24898,29.7,18.4,34613,68.3,30.1,13.4,7.7
Scranton--Wilkes-Barre--Hazleton,PA,Metro,310M400US42540,458257,4.3,80.2,9.7,1,2.8,1.8,4.5,22.5,6.8,6,11.1,9.2,13.3,20.1,12.8,13.6,4,3.1,54115,14166,40.1,22,22561,69.6,43.1,4.5,10.4
Searcy,AR,Micro,310M400US42620,63038,5.4,81.3,6.6,0.5,2.3,2.8,6.5,24.5,9,5.8,16.6,10,14.8,18,10.2,7.4,2.9,5.2,42270,20463,35.9,21.5,16747,61.9,42.2,9,13.3
Seattle-Tacoma-Bellevue,WA,Metro,310M400US42660,3182183,3.8,66.1,10,10.7,4.1,2.4,6.7,31.6,4,2.4,5.2,5.8,9.6,15.6,12.9,19.9,10.8,13.8,87910,29201,24.4,16.7,29332,75.7,29.7,5.6,5.4
Sebastian-Vero Beach,FL,Metro,310M400US42680,133911,6.9,81.1,6.7,0.1,1.8,2.2,8.2,22.1,4.7,5.6,12.6,9.4,12.2,16.9,13,14.6,4.4,6.5,57508,31934,57.2,30.6,39494,61.4,48.5,11.8,4.2
Sebring,FL,Metro,310M400US42700,89467,10.9,70.6,12.3,1.4,4.7,2.8,8.1,20.8,6.1,7,14,18.1,13.1,19.6,7.9,6.9,3,4.2,39796,22285,56.9,33.5,28087,52.2,56.2,11.7,13.2
Seneca,SC,Micro,310M400US42860,64322,5.9,80.4,15.1,0.9,0.7,0.4,2.5,22.7,8.8,5.2,14.1,12.7,11.6,18.1,10,12.3,2.8,4.3,47132,17109,48.5,30,22144,61.6,44.3,12.4,11.4
Sevierville,TN,Micro,310M400US42940,80254,5.9,78.6,12,0.4,1.9,1.6,5.5,26.5,5.3,4.7,11.8,13.6,15.8,21.8,9,13.2,2.6,2.1,47411,12952,41.8,20.5,23384,50.5,48.8,16,10.6
Shawnee,OK,Micro,310M400US43060,57492,4.1,86.5,8.6,0.1,0.7,0.4,3.7,25.7,8.3,7.5,9.5,11.9,14.3,20,12.7,11,2.9,2,48776,12070,37.1,20.7,22723,64.4,38.6,12,14.5
Sheboygan,WI,Metro,310M400US43100,93193,3.1,87.6,5.9,0.3,1.7,0.8,3.7,17.5,3.3,4.6,9.1,8.9,13.9,21.3,14.1,16.9,4.3,3.6,60896,14032,34.2,20.7,20012,78.9,31.2,4.4,4.2
Shelby,NC,Micro,310M400US43140,79201,6.3,87.2,8.3,0,1.4,1.5,1.6,24.3,11,7.4,11.8,10.7,16.3,16.1,12.9,10.5,1.8,1.5,40690,14026,40.6,18.3,19341,59.2,42.7,12.5,16.2
Shelton,WA,Micro,310M400US43220,54199,4.6,70.4,18.1,1.1,2.3,1,7,32.7,5.6,2.2,13.7,9.9,11.2,20.7,17.2,11.9,4.8,2.8,58094,10359,45.7,35.5,29132,61.3,53.1,5.7,8.7
Sherman-Denison,TX,Metro,310M400US43300,106706,5.2,81.5,11.5,0,2,1.2,3.8,26.8,7.2,5.8,7.3,11.7,15.6,19,13.8,10.5,6.3,2.9,51158,17403,37.3,21.3,23422,58.9,35,19.7,8
Show Low,AZ,Micro,310M400US43320,83803,14.4,68.8,12.2,1.4,4.4,4.5,8.7,22.6,13.7,6,13,10.6,16,17.8,10.7,8.8,2.5,0.9,40463,13328,44.4,25.9,23791,40.9,60.9,11.6,23.4
Shreveport-Bossier City,LA,Metro,310M400US43340,342831,6.1,85.9,7.7,1,1.6,1.3,2.6,22.6,7.7,7.5,15,12.6,12.8,17,9.3,11.2,3.7,3.2,41969,19194,32.8,20.3,23398,61.9,45.9,6.3,14.5
Sierra Vista-Douglas,AZ,Metro,310M400US43420,102489,6.1,78.6,7.9,0.2,4.4,4.8,4.2,18.8,7.7,4.9,14.3,8.4,13.9,19.7,12.1,13,3.6,2.4,50495,14054,47.9,29.7,25791,61.3,53,8.4,9.9
Sioux City,IA-NE-SD,Metro,310M400US43580,129527,4,81.9,9.8,0.3,1.4,0.5,6.2,19.2,4.7,4,9.5,11.1,10.8,18.1,16.6,13.8,7,4.2,61576,17820,30.1,15.7,20074,68.6,36.7,6.9,8.7
Sioux Falls,SD,Metro,310M400US43620,203804,2.8,84.6,8.3,0.2,2,0.8,4.2,18.2,4,3.8,7.4,11.1,13.4,19.6,16,16.2,4.7,3.9,61196,16820,24.8,12.5,23309,78,25.2,7.2,5.6
Somerset,PA,Micro,310M400US43740,62793,5,80.2,9.2,0.2,2.1,1.1,7.2,25.5,5.1,3.9,11.7,13.7,13.8,20.5,15.1,10.9,2.6,2.7,50988,16593,42.9,26.2,26282,67.8,43.1,8.5,7.5
South Bend-Mishawaka,IN-MI,Metro,310M400US43780,255702,3.5,82.6,8.6,0.7,3.3,1.3,3.6,21.5,6.8,4.5,9.5,11.2,14.5,18.6,13.9,13,4.6,3.4,54715,17879,31.5,17,17637,69.5,34.7,7.9,8.6
Spartanburg,SC,Metro,310M400US43900,271060,6.4,84.7,9.6,0.2,1.1,0.6,3.7,23.6,6.6,4.7,11,9.8,15.8,18.5,16.1,9.9,4.1,3.4,51853,16619,36.2,18,21954,64.9,37.2,10.3,10.2
Spokane-Spokane Valley,WA,Metro,310M400US44060,461098,4.7,76.7,9,3.1,3.1,1.5,6.6,22.1,6.2,4.6,9.8,9.2,14,19.7,13.8,13.4,4.7,4.6,58546,17302,35.3,20.6,24523,63,44.8,5.6,8
Springfield,MA,Metro,310M400US44140,522928,5,78.9,8.3,2.2,4.1,1.4,5.1,22.6,7.8,5.1,10.4,10,11.1,15.6,12.2,14.9,7.2,5.8,57857,21696,34.4,17.6,27958,66.6,45.4,2.9,10.8
Springfield,IL,Metro,310M400US44100,167733,5.3,86.2,6.6,1,1.4,1.4,3.4,19.3,7.2,3.8,9.3,8.5,11.6,16,15.9,16.9,5.5,5.4,63521,16709,32.8,24.8,36540,73.3,39.6,3.5,9.5
Springfield,OH,Metro,310M400US44220,108194,7.4,80.8,11.9,0.9,2,0.9,3.7,23.8,6.3,4.7,9.5,12.2,17.4,20.4,13.1,11.6,2.6,2,49875,12142,38.5,27,24300,64.9,44.9,7,10.3
Springfield,MO,Metro,310M400US44180,373926,3.8,84.3,8.7,0.3,1.3,1.6,3.8,22.2,7.2,7.1,11.5,12,14.9,19.1,11.4,10.3,3.2,3.2,46905,17235,31.5,16,21492,67.4,33.1,10.8,8.4
St. Cloud,MN,Metro,310M400US41060,157181,5.2,80.6,7.3,2,4.4,1,4.8,22.6,4,5.6,8.7,9.5,13.4,17.6,14.6,16.4,6.2,4.1,60759,16889,28.8,15.4,22223,75.3,36.2,3.5,7.6
St. George,UT,Metro,310M400US41100,132037,2.5,76,7.7,0.6,0.8,1.6,13.4,17.2,4.8,2.7,9.2,11.3,15.3,20.3,11.7,16.9,3.5,4.1,56333,19412,42.3,27.2,35094,72.3,34,12.5,6.2
St. Joseph,MO-KS,Metro,310M400US41140,102650,4,85.6,8.7,0.5,2.1,0.7,2.3,19,4.5,7.2,10.3,11.1,13.2,20.7,14.5,11,4.9,2.5,53321,12342,37.9,22,19910,68.9,33.5,11.3,8.7
St. Louis,MO-IL,Metro,310M400US41180,2254571,4.3,83.6,6.9,2.1,1.8,1,4.6,26.2,6.1,3.8,8.3,8.8,12.9,18,13.4,15.2,6.5,7.2,62790,23296,31.8,21.7,25512,74.2,30.8,6.6,7.8
State College,PA,Metro,310M400US44300,140974,3.3,72.7,9.1,5.2,7.4,2.4,3.3,20.7,11.5,3.5,8.6,7.7,14.5,15.9,11.1,15.9,6.4,4.9,57333,18022,27.1,20.2,30919,85.3,23,5.5,4.1
Statesboro,GA,Micro,310M400US44340,63454,9.9,80.5,8.9,0.4,2.2,3.4,4.5,24,7.5,7.8,14.7,9.7,16.9,16.7,11.9,9.9,1.7,3.2,44179,14526,28.5,15.5,24947,67.2,31.3,9.9,15.1
Staunton-Waynesboro,VA,Metro,310M400US44420,100719,3.3,85,7.6,1.1,1.4,0.5,4.4,24.9,6.4,5.3,10.2,8.7,17.1,18.4,13.4,13.5,4.2,2.9,52625,15958,41.5,25.1,20051,69.5,37.2,9,7
Stevens Point,WI,Micro,310M400US44620,58599,3.4,80.8,8.6,0.6,2.7,1.6,5.8,18.9,5.8,6,9.2,7.3,14.9,20,13.7,15.3,5,3,57452,15026,34.2,22,24133,80,28.5,5.9,5.7
Stillwater,OK,Micro,310M400US44660,67411,6.4,77.2,11.4,0.4,6.7,1.6,2.8,19.9,12.4,2.7,12.5,12.3,11.6,19.2,10.1,11.2,3.2,4.8,48031,19180,29.7,17.8,23571,78.4,23.8,10.1,11.7
Stockton-Lodi,CA,Metro,310M400US44700,571146,6,80,12.7,1.6,1.2,0.9,3.6,37.2,4.7,4.3,9.7,8.2,12,18,13.2,15.9,7.7,6.3,64119,20578,28.6,17.4,30801,59.2,44,6.5,11.7
Sumter,SC,Metro,310M400US44940,84264,7,84.3,9.9,0.1,2.3,1.4,2,21.5,5.9,5.8,13.8,12.1,17,21.6,8.1,9.1,4.2,2.4,45994,13768,34.4,26.7,18889,62.9,44.1,10.8,14.4
Sunbury,PA,Micro,310M400US44980,75526,4.9,85.8,7.9,0.5,1.7,0.8,3.3,23.5,8.1,5.9,14.2,12.1,11.6,16.9,11.3,14.9,2.9,2,47160,16048,41.7,22.4,16107,70.4,40.4,5.2,8.2
Syracuse,NY,Metro,310M400US45060,532143,5.7,80.4,8.1,2.1,3.8,0.9,4.6,20.8,6.6,4.7,9.6,9,12.7,17.5,12.8,16.2,5.6,5.2,58715,20435,34.9,22.2,23548,73.6,38.6,3.7,9.7
Talladega-Sylacauga,AL,Micro,310M400US45180,76654,7.9,88.2,4.1,0.6,2.7,2.2,2.1,24.9,11.3,6.9,13.4,9.8,14.3,17,11.4,10.5,2.7,2.7,42026,20121,40,23.1,22219,59.9,46,9.6,15.5
Tallahassee,FL,Metro,310M400US45220,321896,6,81.8,7.9,2,1.9,1.5,4.9,23.2,8.9,4.8,10.9,10.8,13.8,16.1,12.9,11.3,5.3,5.1,50682,22875,29.4,20.3,29571,72.5,30.3,9.1,12.3
Tampa-St. Petersburg-Clearwater,FL,Metro,310M400US45300,2590482,5.3,78.9,9,1.3,1.4,2.1,7.3,27.6,6.1,5.1,10.3,10.4,13.7,17.9,12.2,13.3,5.3,5.6,54912,22347,37,20.6,25700,62.8,36.8,12.2,9.6
Terre Haute,IN,Metro,310M400US45460,136985,6.1,82.3,10.1,0.1,4.1,1.1,2.3,22.1,7.8,4.8,10.9,11.5,14.7,20.5,12.8,11.5,3.7,2,50256,13571,31.2,19.4,17949,68.1,38.5,7.7,11.5
Texarkana,TX-AR,Metro,310M400US45500,118421,5.8,86.7,8.2,1.5,0.6,1.3,1.8,19.5,12.5,5.4,13.1,9.1,14.1,17,8.8,13,4.2,2.8,45212,20084,36.2,21.8,24471,61,40.9,9.8,17.7
The Villages,FL,Metro,310M400US45540,120634,2.8,73.1,8.6,0.1,0.6,5.9,11.7,26,3.8,5.3,9.7,10.4,14.5,22.1,16.1,11.8,5,1.3,53895,13314,77.7,45.6,32261,67.5,68.8,5.9,5.5
Toledo,OH,Metro,310M400US45780,482530,6,84.2,8.6,1.4,1.9,1.4,2.5,21.1,9.1,5.5,10.4,11.2,12.2,18.4,11.6,13.3,4.1,4.2,51321,18645,30.3,19.8,27716,67.5,38.9,7.2,11.2
Topeka,KS,Metro,310M400US45820,184137,4.2,80.5,12.2,0.8,1.5,0.8,4.1,21.2,6.7,4.5,10.1,9.3,16,17.9,14.4,12.5,5,3.7,54618,19669,35.9,23.5,33575,75.1,34.3,7.9,9.2
Torrington,CT,Micro,310M400US45860,152876,4.1,83.9,6.5,1.1,2.2,0.9,5.4,29.9,3.4,2.9,7.6,9.7,9.2,16.8,13,20.8,8.3,8.4,76043,26683,36.5,23.3,26308,73.2,38,4.5,3.6
Traverse City,MI,Micro,310M400US45900,124254,4,80.6,8.8,0.9,2.1,2.1,5.4,21.6,3.2,4.3,9.7,8,15.3,19.5,13.7,16.7,4.1,5.6,62207,18310,40.7,27.2,23661,72.6,39.3,7,7
Trenton,NJ,Metro,310M400US45940,300103,5.6,68.2,13.7,6.7,4.8,1.8,4.9,26.6,6.4,3.5,7,6.5,8.6,14.7,12.4,17.9,9.2,13.8,80632,34081,32.5,18.7,31418,72.5,31.6,8,6.9
Truckee-Grass Valley,CA,Micro,310M400US46020,84536,3.4,66.5,6.7,0.1,4.3,2.3,20.2,24.7,4.6,5.2,8.6,8.5,12.6,14.3,13.4,17.8,7.2,7.8,66299,20536,43.9,25.9,39683,68.3,47.6,5.2,5.1
Tucson,AZ,Metro,310M400US46060,847376,5.7,76.8,10,2.1,2.1,3.4,5.5,25.3,7.2,4.2,10.7,9.5,15.2,19.1,11.7,12.4,5.2,4.7,53464,19959,37.2,24.5,30908,61.1,43.3,9.6,11.1
Tullahoma-Manchester,TN,Micro,310M400US46100,83671,2.2,88.8,5.2,0,1.4,0.3,4.3,25.3,7.5,6,10.4,12.2,14.2,18.3,11.7,13.5,2.7,3.5,49370,17295,38.8,24.1,20273,66.8,40.3,8.3,14.1
Tulsa,OK,Metro,310M400US46140,775542,4.6,83.3,9,0.5,1.6,1.6,3.9,22.1,6.5,4.5,9.7,9.7,14.7,18.2,13.2,13.4,4.9,5.3,55633,21452,30.9,15.8,21940,65.7,33.2,13.2,10.2
Tupelo,MS,Micro,310M400US46180,109542,6.2,84.9,11.1,0,0.2,1.1,2.7,22.2,5.8,5.7,14.5,10.6,14.1,18.6,14.4,10.2,2.8,3.3,49206,16096,34.4,15.6,21543,64.4,33.7,11.7,9.9
Tuscaloosa,AL,Metro,310M400US46220,199699,5.1,85.5,9.4,0.2,0.7,0.5,3.6,25.1,11.2,6.1,10.3,10,11.2,17.7,12.2,13.9,3.7,3.8,50939,17463,32.8,18.8,22559,71.1,32.4,7.2,11.3
Twin Falls,ID,Metro,310M400US46300,83124,2.1,81.3,8,0.5,2.8,0.9,6.5,19.7,6.6,4.6,9.6,9.2,17.2,24,11.7,11.6,2.9,2.7,52292,17081,29.9,17.3,19324,70,31.5,12,9.3
Tyler,TX,Metro,310M400US46340,179671,5.5,84.8,7.9,0.5,0.5,1.3,5,23.6,9,4.7,8.4,7.5,13.4,18.2,12.9,16.1,4.5,5.4,58226,22206,34.9,13.9,33988,60.4,32.9,18.9,12
Ukiah,CA,Micro,310M400US46380,71461,5.8,68.1,14.1,0,7.9,1.3,8.6,19.6,4.3,7.4,11.1,10.5,14.8,21.4,11,12.1,3.7,3.7,51830,14861,40.4,19.9,29799,49,57.9,7.8,14.9
Urban Honolulu,HI,Metro,310M400US46520,792616,3.7,65.5,14.6,7.2,4.4,3.8,4.5,29,4.6,1.9,5.5,6.4,9.8,16.2,13,20.7,10.7,11.2,84423,22705,34.5,24.2,35601,79.8,32.8,3.4,5
Utica-Rome,NY,Metro,310M400US46540,236731,4,81.5,8.4,1.3,3.6,1,4.2,20.7,6.4,5.2,10.5,10.5,13.4,19.4,12.8,12.7,5.7,3.5,55286,14971,38,26.8,24713,67.2,44.8,4,9.8
Valdosta,GA,Metro,310M400US46660,116534,4.1,84.1,7.4,0,3.3,1.6,3.6,20.9,21.4,6.4,11.9,10.1,10.9,15.8,9.4,8.8,2.6,2.7,35186,19778,29.1,17.3,23083,67.5,29.4,19.2,22.3
Vallejo-Fairfield,CA,Metro,310M400US46700,357799,4.6,75.4,13.7,3.3,1.2,1.4,5.1,35.1,4,2.2,5.1,4.5,10.4,17.5,15.1,21,10.4,9.9,84395,18263,30.4,25.1,36844,74.6,35,4.4,5.3
Victoria,TX,Metro,310M400US47020,75935,6.1,80.9,10.1,1.3,2.8,0.8,4.2,20.3,8.3,7.2,12,10.9,10.3,15.7,13.3,12.4,5.5,4.5,51683,20365,36.6,19,23172,63.8,33.7,14.3,12.6
Vineland-Bridgeton,NJ,Metro,310M400US47220,119757,7.8,77.4,14.9,2.6,0.6,1.4,3.1,23.4,8.8,5.2,12,9.3,13.1,18.3,11.5,13.7,4.7,3.3,52795,15560,39,23.1,24212,62.2,47,8,10.3
Virginia Beach-Norfolk-Newport News,VA-NC,Metro,310M400US47260,1388930,5.1,81.2,8.5,1.4,2.8,1.6,4.4,25,6,3.4,7.6,7.7,13,18.9,14.1,16.5,6.8,5.9,65604,20184,29.5,26.5,31427,75.5,30.4,8.7,7.7
Visalia-Porterville,CA,Metro,310M400US47300,339624,10.3,78.5,13.7,1.1,1.8,0.8,4.2,23.4,8.2,7.4,11.3,10.1,14,17.1,10.9,11.8,4.5,4.7,48817,23039,28.2,16.6,24595,46.6,54.3,6.8,17.8
Waco,TX,Metro,310M400US47380,212277,3.7,83.1,9.2,0.4,2.7,1.4,3.3,19.2,9.4,6.2,12.5,9.7,13.8,16.6,12.2,12.3,4.2,3.1,47328,16401,31.2,16.9,25399,62.9,34.1,15,14.6
